No,Ingredients,Unit (g),Protein (g),Fat (g),Carbohydrates (g),Protein (kcal),Fat (kcal),Carbohydrates (kcal),Price (IDR),Total calories
0,Milled rice,100,8.4,1.7,77.2,33.6,15.3,308.8,1180,357.7
1,Young corn,100,5.1,0.7,31.5,20.4,6.3,126,2300,152.7
2,Duck,200,32,57.2,0,128,514.8,0,10000,642.8
3,Black glutinous rice,100,8,2.3,74.5,32,20.7,298,1750,350.7
4,Yardlong bean,100,2.3,0.1,5.3,9.2,0.9,21.2,2500,31.3
5,Yellow sweet potato,100,0.5,0.4,25.1,2,3.6,100.4,950,106
6,Fresh cucumber,55,0.2,0.2,1.4,0.8,1.8,5.6,1000,8.2
7,Banana blossom,100,1.2,0.3,7.1,4.8,2.7,28.4,964,35.9
8,Fresh soybeans,100,30.2,15.6,30.1,120.8,140.4,120.4,2900,381.6
9,Fresh spinach,71,0.9,0.4,2.9,3.6,3.6,11.6,3100,18.8
10,Ear mushroom,100,3.8,0.6,0.9,15.2,5.4,3.6,9500,24.2
11,Water spinach,60,3.4,0.7,3.9,13.6,6.3,15.6,1400,35.5
12,Red rice,150,4.3,0.6,48.7,17.2,5.4,194.8,2632,217.4
13,Fresh potatoes,100,2.1,0.2,33.7,8.4,1.8,134.8,1860,145
14,Dried peanuts,100,27.9,42.7,17.4,111.6,384.3,69.6,500,565.5
15,Fresh green beans,100,2.4,0.3,7.2,9.6,2.7,28.8,3800,41.1
16,Fresh radish,100,0.9,0.1,4.2,3.6,0.9,16.8,3000,21.3
17,Seaweed,50,1.4,0.3,8.1,5.6,2.7,32.4,4500,40.7
18,Raw macaroni,100,8.7,0.4,78.7,34.8,3.6,314.8,1730,353.2
19,Fresh watercress,100,3.1,0.2,2.2,12.4,1.8,8.8,4300,23
20,Tofu,200,21.8,9.4,1.6,87.2,84.6,6.4,4000,178.2
21,Papaya leaves,100,8,2,11.9,32,18,47.6,2000,97.6
22,Genjer,100,0.2,7.7,2.5,0.8,69.3,10,3340,80.1
